wmo,serial,imei,nsbd,sbd_size,nprof,nfile,nc_size,npts,program,nparam,platform
4902543,AI2600-20CA028,300534060128640,64,19200,2,3,65040,258,core,64,arvor
4902544,AI2600-20CA029,300534060125640,126,37800,20,21,467532,2103,core,64,arvor
4902545,AI2600-20CA030,300534060125620,123,36900,20,21,471660,2097,core,64,arvor
4902546,AI2600-20CA031,300534060227580,122,36600,20,21,467952,2114,core,64,arvor
4902547,AI2600-20CA032,300534060224310,125,37500,20,21,467340,2091,core,64,arvor
6903075,AI3500-20FR001,300534060228320,36,10800,1,1,59572,994,core,64,arvor
4902549,AI2632-20CA034,300534060229340,206,61800,19,20,579772,1999,bgc,72,arvor
4902550,AI2632-20CA035,300534060120930,52,15600,2,3,84356,256,bgc,72,arvor
4902551,AI2632-20CA036,300534060223320,204,61200,18,19,518872,1800,bgc,72,arvor
4902552,AI2632-20CA037,300534060221340,51,14900,2,3,84408,257,bgc,72,arvor
4902553,AI2632-20CA038,300534060229330,53,15500,2,3,82292,102,bgc,72,arvor